index,ID,Review URL,Text,Star,Thumbs Up,User Name,Developer Reply,Version,Review Date,App ID,Cleaned Reviews
2876,139163,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHYvcCkEiNcW8pv56XGsDTi4tGEYMAuWOF-C0ceMHAbHWgo-T4785hi5an79VSD4j5u-nn5wM8JBUYXXgI,good,1,0,saif khan,nan,72.0.3626.76,2021-01-15,com.android.chrome,good
3195,158433,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHe16fS3lZfwwsVho_iFvVzyxoDKZkLa1Np6j-s64yngjqw6ihVWJAwZc_pGbBV1ywptDj-ahzNgwiMsU8,Google is better,1,0,Georgia Lovett,nan,86.0.4240.75,2021-01-19,com.android.chrome,google better
3295,163957,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEEMXkcuXIhwEYkAJgkE__CIzaf8KpUSNurth70sJ4isi6feTyDLSbqhAXPwVE06dLSDBw7Ejp3dUMZ0RM,I'm being stalked. HELP,1,0,Marty Klebber,nan,81.0.4044.138,2021-01-20,com.android.chrome,stalked help
3338,164000,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGgXbFuws7Yd0klLAOwTVIL0FO-hzf6zCLxMmg8LL78X4eID5cBITvYUVGUAkUkk9SGLg4fFUj1hxr-9XA,Nice,1,0,Akshay Rathod,nan,83.0.4103.101,2021-01-20,com.android.chrome,nice
3376,164038,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG7bPq_eaEYeRsQRuVbTiM7IE1xwD-WYyA-H2PrXNfXxHtRVtpacfz8P13pNRE21Uc6y1eWAMZVNK3wh64,Better,1,0,Edith Senyane,nan,42.0.2311.111,2021-01-20,com.android.chrome,better
3402,170292,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGFNFtYYxztOwhb3eYDPlHB01pRcwznyE00IiAiTb1JN-Qqa8_KaLsZCR_hVH4X7wtQpmCFn8jcX08xI9c,Cool,1,0,Dody Mukoko,nan,84.0.4147.111,2021-01-21,com.android.chrome,cool
3430,170320,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEZ-APOngeMiRixWB0f5PFccHc3eIdCz0kHGI9Z0c5xnUWK7_dAc10rPiAAr2KYmtcPQU874idHzkwLgm8,Good,1,0,Farin Akhtar,nan,85.0.4183.101,2021-01-21,com.android.chrome,good
3437,170327,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGM0JmdRN2b_2r1q1C8WhwDRBhRJRJ2aROeJ_EwJY1Pj73awealzUPlZf-RiCg0WdmTVPCmlppaneCMD4I,Wonderful,1,0,Kefi Pathan gori,nan,80.0.3987.99,2021-01-21,com.android.chrome,wonderful
3520,177104,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEAsm-7LUTIQf8cmvthtEpR8I2mvbu4cCquE65Kbair3dLk6b-7bOVSAIsiz4AAnVivZH3TrRkIPy1nQiM,Good,1,0,Kimhamed Hussein,nan,70.0.3538.110,2021-01-27,com.android.chrome,good
3525,177109,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG6ZabSb6hlM6OFUIN4n1EwtHjcUqJjFLzaC34Gg8oZ7rdQ5GNx3K-UFgjW8TcuMbqil6ANC1U8VQzgnJc,Super,1,0,kiran chalam charla,nan,86.0.4240.185,2021-01-27,com.android.chrome,super
3552,177136,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEDPU-7umriMoP5escbBde2VAuuLHgOftyUFL-5rS24WRheC_mCHvj1FN5nCjtVbInI_Quf32gfeUE0eZ8,Wonderful,1,0,Roshni Thankur,nan,87.0.4280.66,2021-01-27,com.android.chrome,wonderful
3589,181853,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG0hyXAMHYCFcwTkTTN81-JQxUtech7e7MG123WqZmhc5Q8PJbrQtvE6Ug1CM4gNbL4S7YyQYpEtznt6jw,Good,1,0,Namuco Dante,nan,nan,2021-01-27,com.android.chrome,good
3597,181862,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFXLXofcm13aSQy1Rlqfrz0xn4Fo977c3jSsTCzJCae8DRwXcKrRkiD1ItFWvE_aC4HRns48LBt-ZRqTz8,Nice app i like this app,1,0,Sneha Dulgach,nan,70.0.3538.110,2021-01-27,com.android.chrome,nice app like app
3671,193218,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGGEuwUAHFpvqZUux9VyOT7NoccmP1RXmL-hNRBk8ZQqa8c92GturZR81CaX_n56tacgb46DklW4t1-QPE,Not bad,1,0,Elizabeth Otieno,nan,86.0.4240.110,2021-01-27,com.android.chrome,not bad
3794,198469,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHKm2Sqq8pRx_K7mGU6-7jDqmfEPrU75VCVeyX4TWykYXUnbjwbMzaC7cAe49io_Z_anJGAcRNsWeD0BKA,Nice,1,0,Nitish Nirala,nan,87.0.4280.141,2021-01-28,com.android.chrome,nice
3958,210972,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHWlSR8HQpWFd_aCC5pIASCcRiNLraQJ6jpqaLJtSuGBDrhrqulM27XwUD_SvGjO---foKKpKp4jzrw-J4,"nice,✨",1,0,brian choge,nan,84.0.4147.125,2021-01-31,com.android.chrome,nice
4023,229673,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEmBYD2K7dzWg7yGCquT0lHoujc7u6BCuTUZuT2ClUxtAtCY1Ct08x2nkSgWaNTfNFTHHEtic3BkG8VPA0,Good,1,0,Tambi Maniam,nan,88.0.4324.141,2021-02-02,com.android.chrome,good
4060,229710,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFAXCqJlY0QGXTSNpFxjuq3zUimF65JEAtZYu_u23DVu68sJsDsTJE4_pi3W3dDHg4Ma3RtcDZ9tpFDFCw,Excellent,1,0,selvamani shanmugam,nan,81.0.4044.138,2021-02-02,com.android.chrome,excellent
4093,229743,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGdI-aqjLA4VCV7xUHUthJLMete3B8QocX4Oc8LTdyj8OWSAIC2hS9Uab9FHwwRyAL72uThvKb5f_vM_7I,Awesome,1,0,Zuber Malik,nan,87.0.4280.141,2021-02-02,com.android.chrome,awesome
4154,236593,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOH57mDHnr0S3r1zDWJyY8jH2xNjGEmYYzOHFoaa_QGamvM_StFxVZ7jx_cvhQ_hRY2ft903DqDE_WZi3pg,its so fuccing helpful,1,0,Al-jazar Alico,nan,85.0.4183.101,2021-02-03,com.android.chrome,fuccing helpful
4174,236613,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFeUqz8HYEX9NIXU__wNrr_TGUSGxaqXF06pH7g75onqWf4vQTcXhGG0eRluYseNsL0RCj3OHYXD6pcPPc,Good,1,0,Akash pradhanji,nan,87.0.4280.141,2021-02-03,com.android.chrome,good
4178,236617,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHIuT69_Fdjc6y2SGEWA_YeLBc1l1t6KOSbRGmGPwQYjP3yWx8NZlFRXfpB7p5NY4vfR0JkKD_wV8wawes,Good luck with,1,0,Mohd rafique Sayed,nan,80.0.3987.99,2021-02-03,com.android.chrome,good luck
4370,269440,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE7V8tBncEWmuSlPuG37wYeDQEpqE9SqQ5XcxdphhF0gGByQV_mi2uWrKvo633Qr5aTrlJUu2pxzKRA0HM,The App very good,1,0,Sharif Sayeed,nan,86.0.4240.198,2021-02-05,com.android.chrome,app good
4409,269480,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOF8oM5k3SkIZo5yRUBs3n6wzCPW1LrIIMmr5uFFLSx6CcoKbK_iSp5HbMRHoXH3yi8sYYAeC690NgWTtgU,I don't like,1,0,Sbskdk Gsjdkd,nan,86.0.4240.198,2021-02-05,com.android.chrome,like
4422,278881,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEdueNZf8Gqxp-RXvfCcazdhrKX3orVVHN6PzECGCw2SJGAcpeyaxehFCTTG2Ht0STFtSYL5wIqtq-uHYc,good app,1,0,Sarwardi hamza,nan,88.0.4324.93,2021-02-06,com.android.chrome,good app
